POLARITY		CONCEPT
positive		cay_elm
positive		cay_exsanguine
negative		cay_gai
negative		cay_gai_dau
negative		cay_ghep
positive		cay_ghep_cam
positive		cay_ghep_fuzz
negative		cay_ghep_noi_tang
negative		cay_ghep_nub
negative		cay_ghep_organ_say
negative		cay_ghep_pith
negative		cay_ghep_stevia
positive		cay_giang_sinh
positive		cay_giang_sinh_lon
positive		cay_giang_sinh_thuong_xanh
positive		cay_giong
positive		cay_go
positive		cay_go_cung
negative		cay_go_hong
positive		cay_go_indigen
negative		cay_hemlock
positive		cay_heo
positive		cay_hickory
positive		cay_hoa
positive		cay_hoi
positive		cay_kem
positive		cay_kho_sam
negative		cay_kim
positive		cay_lac
positive		cay_lay_on
positive		cay_lieu
positive		cay_linden
positive		cay_luong_thuc
positive		cay_luu_ly
positive		cay_man
negative		cay_me_chua
positive		cay_moc_lan
positive		cay_muop_tay
positive		cay_nam_viet_quat
negative		cay_ngu_ngung_tho
positive		cay_nhiet_doi
positive		cay_non
positive		cay_om
negative		cay_pha_he
negative		cay_phong
positive		cay_platan
positive		cay_quat
negative		cay_ran_bay
positive		cay_rom
negative		cay_rong
negative		cay_sa
positive		cay_seu
positive		cay_soi_holm
positive		cay_son_mai_hoa
positive		cay_sung
negative		cay_tai_nan
positive		cay_than_quang
negative		cay_thap_khop
negative		cay_thi_la
positive		cay_thong
negative		cay_thuong
positive		cay_thuong_xanh
positive		cay_thuy_tung
positive		cay_tien
positive		cay_tien_mat
positive		cay_to
negative		cay_trai_tim
positive		cay_tran
positive		cay_trong
positive		cay_trong_chu_luc
positive		cay_trong_du_kha_nang
positive		cay_trong_ingrain
positive		cay_trong_nong
positive		cay_trong_tao_ra
positive		cay_tu_cau
positive		cay_tulip
positive		cay_va_sycamore
positive		cay_vang
positive		cay_vi_cam_vua_van
negative		cayman
positive		cd_cd
positive		cedarn
positive		cedaw
positive		cede_kiem_soat
positive		cede_lenh
positive		cede_tycoon
negative		ceese
positive		cefixime
negative		cefoxitin
negative		ceftaroline
negative		ceftiofur
positive		cefuroxime
positive		cegielia
negative		celadon
positive		celandine
positive		celeb
positive		celebutante
negative		celerity
positive		celestial
positive		celia
negative		celiac
negative		cellblock
negative		cellie_cellblock
negative		cellmate
negative		cellner
negative		cellophane
positive		cellulase
negative		cellulite
negative		celluloid
positive		celluloid_anh_sang
negative		cellulolytic
positive		cellulose_fiber
positive		celtiberia
positive		celtic_folklore
negative		celtic_frost
positive		celtic_harp
negative		celtic_polytheism
positive		celtics_buff
positive		cenotaph
positive		cenpj
positive		censer
positive		censorware
positive		cent
positive		centenian
positive		centowitz
positive		centrifugal_buoc
negative		centrist
positive		centrist_moi
negative		centromere_microtubule
positive		ceorl
positive		cephalad
negative		cephalalgia
positive		cephalexin
positive		cephalic
positive		ceramist
positive		cerasifera
positive		ceratophyllum
negative		ceratosaur
negative		cercaria
positive		cerebral
negative		cerium
positive		certicom
positive		cerulean
positive		cerussite
positive		cessna
negative		cesspit
negative		cesspool
negative		cestode
positive		cestui_tin_tuong_do
negative		cetirizine_zyrtec
positive		cha
negative		cha_ban_chai
negative		cha_bui_cay
negative		cha_chan_tay
negative		cha_clash
negative		cha_coppice
negative		cha_copse
negative		cha_dap
negative		cha_gap_nhau
negative		cha_howr
negative		cha_khong_mong_muon
positive		cha_khuyu_tay_voi
positive		cha_me
positive		cha_me_ky_niem_ngay_cuoi
negative		cha_muoi
negative		cha_nhe_cham
positive		cha_nhu_the
negative		cha_san
negative		cha_xat
positive		cha_xat_vai_voi
negative		cha_xat_vao
positive		cha_xu
positive		chac_chan
positive		chac_chan_roi
positive		chacma
positive		chaconne
positive		chaff
negative		chaffer
positive		chagrin_nen
negative		chai
negative		chai_ky
positive		chai_len
negative		chai_ra
positive		chai_toc
negative		chain_tundra
positive		chakra
positive		chakrasamvara
positive		chalcedony
positive		chalcophyllite
negative		chaldipika
negative		challign
positive		chalvey
negative		cham
positive		cham_cau
positive		cham_cau_bang
positive		cham_chi
negative		cham_chich
positive		cham_cho
positive		cham_dat
negative		cham_den
negative		cham_dut
negative		cham_giay_soc
negative		cham_hoac_sup_do
negative		cham_khac
negative		cham_lai
positive		cham_ngon
positive		cham_nhe
negative		cham_phat_trien
positive		cham_soc
positive		cham_soc_benh_nhan_noi_tru
positive		cham_soc_cho
negative		cham_soc_chuc_nang
positive		cham_soc_cong_viec
negative		cham_soc_da
positive		cham_soc_dac_biet
positive		cham_soc_tat_ca_cac_hoi_dong
negative		cham_soc_ve_sinh
positive		cham_thu_tam
negative		cham_tien_do
positive		cham_toi
negative		cham_tre
negative		cham_tre_trong_lop
positive		cham_vao
positive		cham_vao_co_so
positive		cham_vao_mau_tim
negative		chamberpot
positive		chamblic
negative		champollion
negative		chan_an
negative		chan_cach_nhau
negative		chan_co_mui
positive		chan_cuu
negative		chan_dao
negative		chan_de
positive		chan_dien
negative		chan_doan
negative		chan_dong
positive		chan_dong_cuong_do
positive		chan_ga
positive		chan_ga_goi_dem
positive		chan_ghe
positive		chan_giang_rong
negative		chan_giay
positive		chan_khong
positive		chan_khong_canister
negative		chan_lanh
positive		chan_luu
positive		chan_ly_cuoi_cung
positive		chan_may
positive		chan_mong
negative		chan_nan
negative		chan_ngang_chan
positive		chan_nhiet
positive		chan_nong
positive		chan_nuoi
positive		chan_nuoi_gia_suc
positive		chan_phai
negative		chan_sau
negative		chan_shod
negative		chan_tay
positive		chan_tepid
positive		chan_tha_gia_suc
positive		chan_thanh
negative		chan_thuong
negative		chan_thuong_the_thao
positive		chan_to
negative		chan_tran
negative		chan_trang
negative		chan_troi
positive		chan_troi_rong
positive		chan_truoc
positive		chan_vao_cua
positive		chan_walkover
negative		chancre
negative		chancroid
negative		chancy
negative		chang
positive		chang_corroboratory
positive		chang_nha_que_a
positive		chang_trai_nho
negative		changizi
negative		changmaker
positive		chao_ban
positive		chao_buoi_sang
negative		chao_cup
positive		chao_di
positive		chao_hoi
positive		chao_mung
positive		chap
positive		chap_nhan
positive		chap_nhan_thach_thuc
positive		chap_nhan_thu_thach
positive		chap_noi_chung
positive		chap_noi_voi_nhau
positive		chap_thuan
negative		chap_va
negative		chap_va_phong
negative		chap_va_quilt
negative		chaparral_brush
positive		chapel_dan_hop_xuong
negative		chapel_xen_ke
negative		chapiter_chi_tieu
negative		chapiter_trung_phat
negative		chapman
negative		charade
positive		charanga
negative		charation
positive		chargrill
positive		charisma
negative		charivari
negative		charleroi
positive		charles_beam
positive		charlton
positive		charlume_ream
positive		charmonium
positive		charquapin
positive		charreada
positive		chartreuse
positive		chary
negative		chase_toc_do_cao
positive		chasidic
positive		chaste
negative		chat
negative		chat_beo
negative		chat_beo_bao_hoa
negative		chat_beo_chuyen_hoa
negative		chat_beo_tu_tri
negative		chat_che
negative		chat_che_qabalah
negative		chat_che_roach
negative		chat_che_vao
positive		chat_che_voi_nhau
negative		chat_chuong_chat_che
positive		chat_dam
negative		chat_dau
negative		chat_dich_mang_phoi
positive		chat_dinh_duong
negative		chat_doc
positive		chat_doc_crumb
positive		chat_doc_ptomaine
negative		chat_doc_than_kinh
negative		chat_doc_thuc_pham
positive		chat_don
negative		chat_don_axit_hyaluronic
negative		chat_don_doc_hai_hyaluronic
negative		chat_dong
positive		chat_dong_cao
negative		chat_gay_o_nhiem
positive		chat_gay_o_nhiem_bang_dong
negative		chat_gay_o_nhiem_hoa_chat_khoang_san
negative		chat_gay_sot
negative		chat_go
negative		chat_hep
negative		chat_hoa_deo
positive		chat_ket_dinh
negative		chat_ket_dinh_phot_phat
negative		chat_ket_dinh_vong_phot_phat
negative		chat_kich_thich
positive		chat_lam_mat
negative		chat_lam_uot
positive		chat_lien_tac
positive		chat_lieu_tot
positive		chat_long
positive		chat_long_co_the_uong_duoc
positive		chat_long_dac
negative		chat_long_noi_bao
positive		chat_long_nong
negative		chat_long_pha_loang
negative		chat_long_van_duc
negative		chat_luong_ao_giac
positive		chat_luong_cao
negative		chat_luong_cung
positive		chat_luong_det
negative		chat_luong_gamey
negative		chat_luong_gamy
positive		chat_luong_hedonic
negative		chat_luong_kem
negative		chat_luong_san
negative		chat_luong_tenor
negative		chat_luong_thap
positive		chat_luong_tot
negative		chat_mau_cam
negative		chat_nen_dinh_tinh
negative		chat_nen_lam_mem
negative		chat_nen_thap
negative		chat_nhay
negative		chat_nhay_hypersecretion
negative		chat_nhon_mau_xanh_la_cay
negative		chat_no
negative		chat_no_cao
positive		chat_ostler
negative		chat_pha_loang
positive		chat_phat_sang
positive		chat_pho_truong_nong
negative		chat_phu_gia
negative		chat_phu_vien_hyaluronic_acrid
positive		chat_qua_nang_qua_tai
positive		chat_ran
positive		chat_ran_ket_tinh
positive		chat_sulfua_khong_mui
positive		chat_tay_rua
positive		chat_tay_rua_ang_ten
positive		chat_tay_rua_mot_mon_an
positive		chat_tay_rua_tha
negative		chat_tay_trang
negative		chat_tay_trang_do_uong
negative		chat_thai
negative		chat_thai_hat_nhan
negative		chat_thai_hoa_hoc
negative		chat_thai_mong
negative		chat_thai_nhua
negative		chat_thai_nuoc_thai
negative		chat_thai_ran
negative		chat_thai_thuc_pham
positive		chat_tuong_tu_purine
positive		chat_xo
positive		chat_xo_cao
negative		chat_xo_hoa_tan_glucan
negative		chat_xuc_tac
positive		chat_xuc_tac_palladi
positive		chateau
positive		chateauneuf
positive		chattel
positive		chatterbot
negative		chatty
positive		chatur
negative		chau_ba_bau
negative		chau_chau
negative		chau_doi
positive		chau_gai
positive		chau_trai
negative		chaunsecleer
negative		chauvin
positive		chav
positive		chavignon
positive		chavvy
positive		chay
positive		chay_bo
positive		chay_bo_befit
positive		chay_bo_beseem
positive		chay_bo_chua
positive		chay_danh_lua
positive		chay_dung
positive		chay_manh
positive		chay_ngai_vang
positive		chay_ngam
positive		chay_nhien_lieu
positive		chay_nuoc
positive		chay_nuoc_dai
negative		chay_nuoc_mat
positive		chay_nuoc_mieng
positive		chay_ra
positive		chay_tan_loan
negative		chay_theo_vong_tron
negative		chay_tren_trong
negative		chay_tron
positive		chay_tron_no_le
positive		chay_tron_tru
negative		chay_trui
negative		chay_vao
negative		chay_xuong
negative		che
negative		che_bai
positive		che_bang
negative		che_day
negative		che_do
positive		che_do_an
positive		che_do_an_kieng
positive		che_do_an_kieng_an_co
negative		che_do_an_uong_beo_game
positive		che_do_an_uong_dinh_tinh
negative		che_do_an_uong_gamey_beo
positive		che_do_an_uong_lam_mem
positive		che_do_an_uong_thap
positive		che_do_an_uong_umnivious
negative		che_do_ban_vi_kep
negative		che_do_bolshevik
negative		che_do_chia_lai
positive		che_do_daemon
positive		che_do_day
positive		che_do_deonec
negative		che_do_dorian
negative		che_do_hoang_da
positive		che_do_mixolydian
negative		che_do_phan_biet_chung_toc
negative		che_do_phrygian
positive		che_do_phu
negative		che_do_slug
positive		che_do_tai_phiet
negative		che_do_xem
negative		che_giau
negative		che_giau_mat
negative		che_gieu
positive		che_ngon_toc
negative		che_nhao
positive		che_soi_toc
negative		che_tao
negative		che_tao_bom
negative		cheapjack
positive		cheat_to
positive		cheatsheet
positive		chebarkul_lac
positive		checkbook_cover
positive		checker
positive		checkmate
negative		cheefe
negative		cheesemonger
positive		cheesy
negative		chelator
positive		chelical
positive		cheltenham_spa
negative		chem
positive		chemoradiation
negative		chemoreception
negative		chemosensory
negative		chemotactic
positive		chen
positive		chen_thanh
positive		chenchial
positive		chengaroor
negative		chenh_lech
positive		chenh_lech_ke_ho
negative		chenigrate
negative		chenille
positive		chenopodium
negative		cheny
positive		cheo
negative		cheo_giua
positive		cheo_thuyen
positive		cheong
negative		cherenkov_buc_xa
positive		cherokee_descent
negative		cheroot
positive		cherry_cherry
positive		cherub
positive		cherubim
positive		chesnut
negative		chessani
positive		chessbase
positive		chessmaster
positive		chestburyter
negative		chet
negative		chet_benh
negative		chet_chim
positive		chet_cho
negative		chet_cho_sinh
positive		chet_chu_sinh
negative		chet_doi
positive		chet_don
negative		chet_duoi_voi_phai_cong_rom
negative		chet_nguoi
positive		chet_nguoi_chet
negative		chet_tiet
negative		chet_tuoi
negative		chet_yeu
positive		chevington
positive		chevrotain
positive		chevy
negative		chewy
positive		chhonerpeton
positive		chi
negative		chi_azide
positive		chi_bao_tien_luong
negative		chi_can
positive		chi_co
positive		chi_co_ky_han
positive		chi_dan
negative		chi_dao_sideslip
positive		chi_dao_thuong_mai
positive		chi_dau
positive		chi_dinh
negative		chi_dinh_loi_nguyen
positive		chi_em
positive		chi_forficula_auricularia
negative		chi_gia
positive		chi_huy
positive		chi_huy_hai_quan
positive		chi_huy_va_kiem_soat
negative		chi_noi_tang
positive		chi_opossum
negative		chi_phi
negative		chi_phi_bat_kha_xam_pham
positive		chi_phi_cat
negative		chi_phi_cha_me
positive		chi_phi_dau_vao
positive		chi_phi_dung_dich_manh
positive		chi_phi_giai_phap_chien_hao
positive		chi_phi_giai_phap_huu_ich
positive		chi_phi_giai_phap_tot
negative		chi_phi_hang_dem
positive		chi_phi_hieu_qua
negative		chi_phi_phu_huynh
negative		chi_phi_sinh_hoat
positive		chi_phi_tang
negative		chi_phi_than_yeu
positive		chi_phi_tra_dan
positive		chi_sau_do
positive		chi_sax
positive		chi_so_bao_gia
positive		chi_so_tien_luong
positive		chi_so_trich_dan
positive		chi_tiet
positive		chi_tiet_chinh_xac
negative		chi_tiet_thong_tri
positive		chi_tieu_tien_mat
negative		chi_trich
negative		chia_buon
negative		chia_ca_tinh
negative		chia_doi
positive		chia_go
positive		chia_khoa_khung_xuong
positive		chia_khoa_thap
negative		chia_khoa_trao_tay
positive		chia_ly
negative		chia_moi
positive		chia_se
negative		chia_se_bonny
negative		chia_se_toc_vang
negative		chia_tay
positive		chia_tay_ngat_loi
negative		chia_toc
negative		chiaroscuro
positive		chic
negative		chicane_on
negative		chicanery
positive		chicest
negative		chich
negative		chick_da
negative		chick_flick
negative		chick_hoang_da
positive		chick_passerine
negative		chickadee
positive		chickie
positive		chicly
positive		chicory
positive		chicory_escarole
positive		chiec_cup
positive		chiec_dia_nhua_nem
positive		chieftain_boomerang
negative		chiem
negative		chiem_huu
negative		chiem_khong_gian
positive		chiem_lay
positive		chiem_nghiem
negative		chiem_ngu
negative		chiem_tinh_gia
negative		chiem_tinh_vedic
positive		chiem_uu_the
positive		chien_binh
negative		chien_che
positive		chien_dau
negative		chien_dau_can_chien
positive		chien_dau_cho
negative		chien_dau_cong_kenh
negative		chien_dau_cua_largish
positive		chien_dau_dung_cam
negative		chien_dau_khoc_liet
negative		chien_dau_lon
positive		chien_dau_melanura
negative		chien_dau_met_moi
positive		chien_dau_vao
negative		chien_dau_vi_mo
positive		chien_dich
positive		chien_hao
positive		chien_luoc
negative		chien_luoc_hung_bien
negative		chien_luoc_nguy_trang
negative		chien_luoc_orotund
negative		chien_si_protofemin
positive		chien_thang_chien_dau
positive		chien_thang_cuoc_dua
positive		chien_thang_de_dang
negative		chien_thang_hanh_vi
positive		chien_thang_kho_chiu
positive		chien_thang_kho_khan
positive		chien_thang_tran_chien
positive		chien_thuat
negative		chien_tranh
positive		chien_tranh_bang_dang
negative		chien_tranh_cuoi
negative		chien_tranh_palestine
positive		chien_tranh_quoc_te
positive		chieng_rang_chung_thuc
negative		chiestist
positive		chiet_trung
positive		chiet_xuat_thuc_vat
positive		chieu
positive		chieu_cao
positive		chieu_cao_bloom
positive		chieu_cao_but
negative		chieu_cao_cairn
positive		chieu_cao_cam_hoi_dragster
positive		chieu_cao_thay_doi
positive		chieu_cao_trung_phat
positive		chieu_dau_hoi
positive		chieu_don
positive		chieu_le
negative		chieu_rong
positive		chieu_rong_khac_nhau
positive		chieu_sau
positive		chieu_thu_sau
negative		chieu_tieu
positive		chieu_tuong_dau_hoi
negative		chieu_vao
positive		chieu_xa
negative		chiffchaff
positive		chigger
positive		chik
positive		chiliad
positive		chiliastic
positive		chillax
positive		chillgling
positive		chilopoda
negative		chim
positive		chim_bo_cau
negative		chim_bo_cau_chim_ung
positive		chim_bo_cau_do_gac_xep
negative		chim_bo_cau_rua
positive		chim_bo_nhan
positive		chim_bong_lau
negative		chim_chet
positive		chim_cho
negative		chim_cong_kenh
negative		chim_cu
negative		chim_cun_cut
negative		chim_cut_tai
negative		chim_da_da
positive		chim_di_cu
negative		chim_gallinaceous
negative		chim_hoang_da
negative		chim_hulky
positive		chim_i
positive		chim_keu
negative		chim_kim_oanh
negative		chim_lon
negative		chim_nhua
negative		chim_nuoc
positive		chim_quan_quai
positive		chim_rang
positive		chim_sa
positive		chim_som
negative		chim_son_ca
positive		chim_tuoi_tot
positive		chim_unabquatic
positive		chim_ung
negative		chim_ung_chim_ung
negative		chim_vao
positive		chim_voi_da
positive		chim_vom
negative		chimaera
positive		chimahong
negative		chime_westminster
negative		chimero
positive		chin
positive		chin_frog
positive		chin_lash
positive		chin_lather
positive		chin_muoi_sang
positive		chin_slash
positive		chin_trounc
positive		chin_whip
positive		chinchorro
negative		chinchy
positive		chinh
positive		chinh_hang
positive		chinh_nha
positive		chinh_pham
negative		chinh_phuc
positive		chinh_phuc_ma_sat
positive		chinh_phuc_noi_dau
positive		chinh_quyen
positive		chinh_sach
positive		chinh_sach_can_thiep_toan_cau
positive		chinh_sach_swop
positive		chinh_sach_thuong_mai
negative		chinh_sach_wonk
negative		chinh_sua_loi_phe_binh
negative		chinh_ta_ngan_gon
negative		chinh_thong_giao
positive		chinh_thuc
positive		chinh_tri
negative		chinh_tri_hoa
positive		chinh_tri_xa_hoi
positive		chinh_truc
positive		chinh_xac
negative		chinh_xac_chinh_xac
positive		chinh_xac_nghiem_ngat
negative		chinh_xac_trai_nguoc
negative		chink
positive		chink_ok
positive		chintz
negative		chippy
positive		chirography
positive		chironomidae
positive		chiropteran
negative		chirpy
negative		chirrup
negative		chisel_hinh
negative		chiseli
positive		chit
positive		chit_cat
negative		chit_chat
negative		chit_valve
positive		chitin
positive		chiu
negative		chiu_ap_luc
positive		chiu_dung
positive		chiu_dung_chandler
positive		chiu_dung_chiu_dung
positive		chiu_duoc
negative		chiu_lua
negative		chiu_ton_thuong
positive		chiu_trach_nhiem
negative		chivy
positive		chkyi
negative		chlamydia
negative		chloral
positive		chloral_hydrat
negative		chlordiazepoxide
positive		chlordiazepoxide_librium
negative		chlorhexidine
positive		chloro
positive		chlorobenzene
positive		chloromethane
positive		chlorophenol
negative		chloropicrin
positive		chlorothalonil
negative		chlorothiazide
positive		chlorpheniramine
negative		chlorthalidone
positive		cho
positive		cho_an_nuoi
negative		cho_an_thit_cho
negative		cho_bai_hoc
negative		cho_ben_trong
positive		cho_biet
negative		cho_cai
negative		cho_cai_ve
positive		cho_chac_thoi
positive		cho_chat_long
positive		cho_chet_tiet
positive		cho_chung_toi_kistler
negative		cho_cock
positive		cho_cong_viec
negative		cho_cua
positive		cho_cuoc_song
positive		cho_dai
negative		cho_den
negative		cho_den_khi_dat_cua_ban
positive		cho_di
negative		cho_doi
negative		cho_doi_lau
negative		cho_doi_mai_mai
negative		cho_doi_vao_ngay_mai
negative		cho_gia_giu_xuong
negative		cho_hanh_vi_pham_toi
positive		cho_lanh
positive		cho_mat_xe
positive		cho_moi_thu
negative		cho_nghi_ngoi
positive		cho_ngoi_nang_luc
positive		cho_nong_san
negative		cho_o_gia_re
positive		cho_phep
positive		cho_phep_de_cho
negative		cho_rang
positive		cho_rung_dong
positive		cho_san_hang_dau
positive		cho_shit
positive		cho_shit_khoang
negative		cho_thay
negative		cho_thay_tuan_tra
positive		cho_thoi_gian
negative		cho_thue
positive		cho_thue_hiep_dinh
negative		cho_thue_lai
negative		cho_thue_mua_hang
negative		cho_tre_so_sinh
negative		cho_trong
positive		cho_va_nhan
negative		cho_vay
negative		cho_vay_cong_kenh
positive		cho_vay_mac_dinh
negative		cho_vay_nang_lai
negative		cho_vay_ngoai_hoi
negative		cho_vay_tien
positive		cho_xet_xu
negative		choana
positive		choc_vui_ve
positive		chock
negative		chockablock
positive		choi
positive		choi_an_toan
negative		choi_bean
positive		choi_bi_dao
negative		choi_bo
positive		choi_bong_voi
negative		choi_chu
negative		choi_coy
negative		choi_dai
positive		choi_dep
positive		choi_dep_nhe
negative		choi_ga
positive		choi_game
positive		choi_guitar
negative		choi_kham
negative		choi_kham_choi_kham
negative		choi_lau_nha
positive		choi_lo_to
negative		choi_ngua
positive		choi_nhac
positive		choi_sang
negative		choi_soi_noi
negative		choi_tai
negative		choi_tho
positive		choi_tot
positive		choi_tro_dua
positive		choi_voi
negative		choi_voi_dau
negative		choi_voi_lua
positive		choiet_the
negative		choke_back
negative		chokeep
negative		chokhamela
positive		chol_commode
positive		chola_crapper
positive		cholagogue
negative		cholecystokinin
negative		cholera
negative		cholera_bird
negative		cholera_da_pha_vo
negative		choleric
negative		cholestatic
negative		cholestatic_vang_da
positive		cholesteatoma
positive		cholesterol
positive		cholesterol_gamey
positive		cholesterol_huyet_thanh
negative		cholestyramine_questran
positive		cholinergic
positive		cholinomimetic
negative		chom_sao_voi_nhau
positive		chomp
negative		chon
negative		chon_astatine
negative		chon_de_cu
negative		chon_dow
positive		chon_opossum
positive		chon_ra
positive		chon_riu
negative		chon_sau
negative		chon_song
positive		chon_tai
positive		chon_tham_gia
positive		chon_thien_duong
positive		chon_tieu_chi
positive		chondrand
positive		chondricic
negative		chondrocyte
positive		chondrodysplasia
positive		chondrodysplasia_puntata
negative		chondroplasty
negative		chondrosarcoma
positive		chong_cheo
positive		chong_chong
negative		chong_co_giat
positive		chong_doc_quyen
negative		chong_doi_xa_hoi
negative		chong_lai
positive		chong_lai_benh_tat
negative		chong_lai_tuong
negative		chong_mai_rang
negative		chong_mat
positive		chong_toi_pham
positive		chong_trong_luc
negative		chook
negative		choosy
negative		choosy_gram
positive		chop
positive		chop_canh
negative		chop_mat
positive		chop_mat_nong
positive		chordal
negative		chore
positive		chore_aid
positive		choriocarcinoma
negative		choroophora
positive		chortle
positive		chosen
positive		chot
positive		chot_bang
positive		chot_thuong_vu
negative		chow
negative		chow_do
negative		chow_yun_beo
negative		chowan
positive		chowkidar
negative		chowne
positive		chreister
positive		chrism
positive		christening
positive		christike
positive		christkindlmarkt
positive		christmastide
negative		christoffel
positive		christow
negative		chroma_khac_nhau
positive		chromatic_hoang_da
positive		chronotropic
negative		chrysanthite
positive		chrysoberyl
positive		chrysolite
positive		chrysoperla
positive		chrysoprase
negative		chrysostom
negative		chrysotile
negative		chthonia
negative		chthonic
positive		chu_bat_bat
positive		chu_dao
positive		chu_dat
positive		chu_de
positive		chu_de_an_toan
positive		chu_de_bai_hoc
positive		chu_de_denizen
negative		chu_de_goc
negative		chu_de_grosgrain
positive		chu_de_have
positive		chu_de_nub
positive		chu_de_pith
positive		chu_de_thuong_mai
positive		chu_de_trai_tim
positive		chu_de_warp
positive		chu_dong
positive		chu_gon_gang
positive		chu_hoa_lai
positive		chu_hop_dong
negative		chu_kien_cua_warhoror
positive		chu_ky
positive		chu_ky_banh_xe
negative		chu_ky_bay
positive		chu_ky_chuyen_hoa
negative		chu_ky_cong_chung
negative		chu_ky_dinh_huong
negative		chu_ky_diurnal
negative		chu_ky_dong_duc
negative		chu_ky_dong_ho
negative		chu_ky_estrus
positive		chu_ky_mat_troi
positive		chu_ky_quay
positive		chu_ky_the_thao_terra
positive		chu_muu
negative		chu_nghia
negative		chu_nghia_bai_do_thai
positive		chu_nghia_ca_nhan
negative		chu_nghia_cuc_doan_du_doi
negative		chu_nghia_dan_toc
positive		chu_nghia_dan_toc_moi
negative		chu_nghia_dan_toc_tu_san
positive		chu_nghia_hoa_binh
negative		chu_nghia_nam_nu_binh_quyen
positive		chu_nghia_nguyen_thuy
negative		chu_nghia_phat_xit
negative		chu_nghia_thuong_mai
negative		chu_nghia_toan_tri
negative		chu_nghia_truc_tiep
positive		chu_nghia_tu_do
positive		chu_nghia_xa_hoi
negative		chu_nghia_xa_hoi_moi
negative		chu_nhan_jactonist
positive		chu_nhat_laze
negative		chu_quyen
positive		chu_re
positive		chu_so
negative		chu_so_huu_chu_so_huu
negative		chu_so_huu_nha_tho
negative		chu_so_huu_tieu_de
positive		chu_tai_khoan
negative		chu_te
positive		chu_the
positive		chu_thich
negative		chu_tho_duoi_anh_den_pha
positive		chu_tich
positive		chu_tinh
positive		chu_tot
positive		chu_tri
negative		chu_trinh_trochaic
positive		chu_tuong_hinh
negative		chu_van
positive		chu_vi
positive		chu_vi_phong_thu
positive		chu_y
negative		chu_y_den
positive		chu_yeu
positive		chua
negative		chua_benh
negative		chua_benh_khoang_san
negative		chua_chat_chua_chat
positive		chua_chin
negative		chua_chuan_bi
negative		chua_dat_ten
negative		chua_duoc_bao_ve
positive		chua_duoc_chung_minh
negative		chua_duoc_phan_loai
negative		chua_duoc_xay_dung
negative		chua_giai_quyet
positive		chua_giesu
positive		chua_in_ra
negative		chua_ket_noi
negative		chua_kham_pha
positive		chua_khoi
positive		chua_kito_chiu_dong_dinh
negative		chua_lanh
positive		chua_len
negative		chua_oi
negative		chua_quyet_dinh
positive		chua_so_hai
positive		chua_te
negative		chua_thanh_toan
positive		chua_thu_thach_arkle
positive		chua_troi
negative		chua_trung_phat
negative		chua_truong_thanh
positive		chua_tung_co
positive		chua_ung_thu
positive		chua_viet
positive		chuan_bi
positive		chuan_bi_de_lan
positive		chuan_bi_hoa_binh
positive		chuan_muc
positive		chub
positive		chubby_thap
positive		chuc
positive		chuc_may_man
positive		chuc_mung
negative		chuc_mung_co_hoi
positive		chuc_mung_nhe
positive		chuc_nang
positive		chuc_nang_ngung_tu
positive		chuc_nang_winder
positive		chuc_nang_xac_thuc
positive		chuc_ngu_ngon
positive		chuc_tot_lanh
negative		chuc_tu_te
negative		chuck
positive		chuck_berry
positive		chuck_berry_hoang_da
positive		chug
negative		chui_bay
negative		chui_rua
positive		chum_anh_sang_blu
positive		chum_neutron_ky_phai
negative		chum_proton
positive		chum_tia_lite
positive		chum_tia_song_dong
negative		chump
positive		chump_kelp
negative		chung
positive		chung_cat
negative		chung_cat_chan_khong
positive		chung_chan_an_co_ban
positive		chung_chi
negative		chung_chung
positive		chung_co
positive		chung_cu
negative		chung_do_da
positive		chung_ket
positive		chung_khat_nuoc
negative		chung_kho_doc
negative		chung_me_day
positive		chung_minh
positive		chung_minh_kien_cuong
negative		chung_ngu_ru
negative		chung_ngung_tho_luc_ngu
positive		chung_nhan
negative		chung_sot_ca_bin
positive		chung_thuc
positive		chung_thuc_mau_thuan
positive		chung_to
negative		chung_toc
negative		chung_toi
positive		chung_tu
positive		chung_tu_endow
negative		chung_vui
negative		chunk
positive		chunk_epochal
positive		chunk_sum
negative		chunk_voi_nhau
negative		chunkier
negative		chunky
negative		chuoc
positive		chuoc_loi
positive		chuoi
negative		chuoi_bam
negative		chuoi_burger
positive		chuoi_cavendish
positive		chuoi_chinh
negative		chuoi_dinh_kem
positive		chuoi_dong_cua
negative		chuoi_hoa_chat_thuc_pham
positive		chuoi_linchpin
positive		chuoi_lynchpi
positive		chuoi_may_man
negative		chuoi_thuc_an
negative		chuoi_trai_tim
positive		chuong
positive		chuong_chuong
positive		chuong_cua
negative		chuong_heo
negative		chuong_khi
negative		chuong_nau
negative		chuong_reo
positive		chuong_serpent
negative		chuong_tay
positive		chuong_tay_coc_tay
negative		chuong_trinh
negative		chuong_trinh_con
positive		chuong_trinh_giao_duc
positive		chuong_trinh_hay
positive		chuong_trinh_nghi_su_khac_nhau
positive		chuong_trinh_tot_nhat
positive		chuong_xanh
negative		chuot
negative		chuot_bach
positive		chuot_bat
negative		chuot_bristly
positive		chuot_cong_kenh
positive		chuot_im_lang
negative		chuot_nha_tho
negative		chuot_nhay
negative		chuot_rut
negative		chuot_rut_co_bap
negative		chuot_soc
negative		chuot_sod
negative		chuot_thi_nghiem
negative		chuot_typhus
negative		chup
